latitude|longitude|Date
8.78397|-79.58157|07-01
8.8777|-79.49778|07-01
9.36652|-79.88527|07-01
9.47107|-79.8899|07-01
8.95771|-79.56499|07-01
8.87207|-79.4619|07-01
9.37233|-79.88533|07-01
8.96248|-79.56915|07-01
9.49075|-79.89809|07-01
9.42153|-79.90155|07-01
9.35939|-79.88388|07-01
9.39483|-79.89733|07-01
8.8566|-79.47855|07-01
9.2677|-79.91179|07-01
8.985240000000001|-79.59194|07-01
8.87139|-79.49065|07-01
9.44829|-79.87539|07-01
8.94407|-79.56605|07-01
8.95549|-79.56565|07-01
9.42048|-79.93498|07-01
9.37563|-79.89095|07-01
9.3522|-79.90767|07-01
9.3531|-79.90967|07-01
9.3563|-79.88252|07-01
9.50314|-79.87753|07-01
9.37123|-79.88691|07-01
9.35809|-79.89079|07-01
9.36967|-79.88517|07-01
9.6146|-79.85388|07-01
9.51273|-80.01941|07-01
8.73251|-79.40784|07-01
8.71477|-79.3992|07-01
9.61238|-79.8468|07-01
9.60639|-79.867|07-01
9.5735|-79.86333|07-01
9.55655|-79.87778|07-01
9.42054|-79.93492|07-02
9.46231|-79.8674|07-02
9.36779|-79.92696|07-02
8.9885|-79.59453|07-02
8.960890000000001|-79.56803|07-02
8.95532|-79.56583|07-02
9.27416|-79.92262|07-02
9.3581|-79.89078|07-02
9.46039|-79.89438|07-02
9.35095|-79.90767|07-02
8.96338|-79.57002|07-02
8.960280000000001|-79.57624|07-02
9.35233|-79.90772|07-02
9.27058|-79.91216|07-02
9.47336|-79.88813|07-02
9.37123|-79.88682|07-02
9.37228|-79.88538|07-02
9.36105|-79.88458|07-02
8.85651|-79.47911|07-02
9.37488|-79.8905|07-02
9.39238|-79.9194|07-02
9.36353|-79.88574|07-02
9.36657|-79.88502|07-02
9.45829|-79.87869|07-02
9.36906|-79.88984|07-02
8.76333|-79.41696|07-02
9.60932|-79.84956|07-02
8.7136|-79.39439|07-02
8.75987|-79.41691|07-02
9.57748|-79.869|07-02
8.72283|-79.39893000000001|07-02
8.74484|-79.41471|07-02
9.538640000000001|-79.87559|07-02
8.75236|-79.41602|07-02
9.58038|-79.87979|07-02
8.73588|-79.41443|07-02
9.60094|-79.86147|07-02
8.76128|-79.41963|07-02
8.7218|-79.4029|07-02
